example_portuguese_sentence,example_libras_sentence
o chefe me mandou acabar rápido o serviço.,chefe 2smandar1s serviço acabar rápido.
ela estuda na faculdade de serviço social.,elo estudar faculdade serviço social.
hoje virá uma visita e você precisará servir a comida.,hoje ter visita você precisar comida servir.
meu pai tem 60 anos.,meo pai idade 60.
na minha casa tem sete cadeiras.,casa meo ter cadeira só 7.
meu aniversário é em setembro.,meo aniversário setembro.
minha mãe tem setenta anos.,mãe meo idade 70.
este livro é seu?,livro esto seo?
eu quero aprender sobre sexo.,querer eu aprender sexo.
todas as sextas-feiras à noite o grupo de amigos vai beber no bar.,sextafeira todo noite amigo grupo beber bar.
"eu moro no sexto andar do edifício, meu namorado no oitavo.",eu edifíco andar sexto meo namorado oitavo.
eu comprei shampoo cheiroso.,shampoo cheiroso eu comprar.
eu gosto de ver roupas no shopping.,sp eu gostar ver roupa.
você viu meu short vermelho?,voce ver short meo vermelho?
o homem foi confessar ao padre e o padre é bom e sigiloso.,homem confessar padre sigiloso boo.
você vê o que o quadro significa? sabe explicar?,você 2sver3s quadro significar? explicar?
empresta-me seu jornal para eu ver o meu signo.,2semprestar1s jornal eu ver signo meo.
as crianças não sabem o que é uma sílaba.,criança sabernão sílaba oquê.
silêncio! não grite.,gritar não silêncio!
aquele ar condicionado é silencioso.,ar condicionado aquelo silencioso.
ele perguntou se vou à festa? sim.,elo 3sperguntar1s vai festa? sim.
eu gostei da sua mãe porque ela é muito simpática.,mãe seo simpáticomuito eu gostar.
ela contou-lhes uma história simples.,elo 3scontar3p história simples.
hoje tem simpósio na faculdade.,hoje faculdade ter simpósio.
todos os sábados os judeus se reúnem na sinagoga.,sábado todo judeu sempre reunir lá sinagoga.
agora aumentou o número de carros que não respeitam o sinal vermelho.,agora aumentar carro sinal vermelho desobedecer.
seu primo tem muitos sinais no rosto.,primo seo muito sinal rosto.
qual é o sinal do seu irmão?,seo irmo sinal?
ontem houve reunião lá no sindicato.,ontem reunião lá sindicato.
aquele menino com síndrome de down é meu amigo.,menino aquelo síndromededown amigo meo.
eu escrevo com a mão esquerda.,eu mãoesquerda escrever.
aquela igreja tem um sino enorme!,igreja aquelo sino enorme!
"o discurso está longo, preciso sintetizar.",discurso longo precisar sintetizar.
meu sítio tem uma grande sinuca; você não gosta?,sítio meo ter sinuca grande você gostarnão?
comer siri com arroz é uma delícia.,comer siri junto arroz delícia.
minha família vai para o sítio todo fim de semana.,familia meo sempre sábado domingo freqüentar sítio.
os jovens adoram andar de skate.,jovem adorar skate.
a palestra apresentou bons slides.,palestra apresentar coisaquadradapequenaflash boo.
eu vou viajar de mochila só com short e blusa.,eu viajar mochila short blusa colocar só.
ele está sempre só em casa.,elo sempre casa só.
a bola está sob a mesa.,bola mesa sob.
deus é soberano.,deus soberano!
meu amigo mora no sobrado.,amigo meo morar sobrado.
ela não tem sobrancelhas.,elo sobrancelha ternão.
sobrou este bolo da festa de ontem.,bolo esto ontem sobrar festa.
ela esqueceu o copo sobre a mesa.,copo delo esquecer mesa sobre.
elas duas estavam conversando sobre aids.,elo2 conversar sobre aids.
eles dois estão conversando sobre futebol.,elo2 conversar sobre futebol.
cuidado! não pode sobrecarregar o carro.,cuidado! podernão carro sobrecarregar.
meu filho sempre come sobremesa de chocolate.,filho meo sempre comer sobremesa chocolate.
eu me sobressaltei quando um homem se aproximou.,homem vir eu sobressaltar.
eu tenho quatro sobrinhos.,eu ter sobrinho 4.
o brasil tem muitos problemas sociais.,brasil ter problema social muito.
a sociedade precisa respeitar os direitos dos surdos.,sociedade precisar respeitar direito surdo.
meu tio é sócio do clube há muitos anos.,clube tio meo sócio anomuito.
"a menina estava se afogando e, rápido, eu a socorri e salvei.",menino água afogar 1ssocorrer2s salvar rápido.
minha mãe comprou um sofá novo.,mãe meo já comprar cadeira^macio novo
na casa de meu amigo tem um sofá de madeira lindo!,casa meo amigo sofá madeira bonitomuito!
eu sofro com os problemas da minha família.,família meo problema eu sofrer.
a mulher teve um grande sofrimento com o abandono do marido.,esposo abandonar irembora mulher sofrimento forte.
"o sogro dele é bom, ajuda à família.",sogro delo boo ajudar família.
ontem fui à praia e o sol estava forte e fazia muito calor.,ontem eu ir praia sol forte calor.
o namorado dela é soldado.,namorado delo ser soldado.
"você soletrou errado, repita!",você soletrar errado repetir!
ea professora solicitei silêncio para começar a reunião.,professoro solicitar silêncio começar reunião.
"não gosto de solidão, é ruim.",eu gostarnão solidão ruim.
o gelo é a água em estado sólido.,gelo água sólido é.
ele não gosto de pessoas e está sempre solitário.,"ele gostarnão pessoa, sempre solitario."
a mulher que trabalha com minha irmã é solteira e bonita.,mulher aquelo trabalhar junto meo irmo solteiro bonito.
"ela está com soluço, precisa beber água.",elo soluço precisar beberágua..
"a televisão está com defeito, sem som. precisa consertar.",televisão defeito som nada precisar consertar.
"você somou errado, repete.",você somar errado repetir.
as pessoas que trabalham no hospital usam somente roupa branca.,pessoa trabalhar hospital somente roupa branco.
"ao dormir, o bebê sempre sonha sorrindo.",bebê sempre dormir sonhar sorrir.
ontem tive um sonho horrível.,ontem eu dormir sonho horrível.
"quando ela era pequena, adorava comer sonhos.",elo pequeno adorar comer sonho agora não.
dentro do ônibus eu sempre fico com sono.,dentro ônibus eu sempre sono.
"no verão não combina tomar sopa, só no inverno.",verão combinarnão sopa somente inverno.
toda criança gosta soprar vela no aniversário.,aniversário criança gostar vela soprar.
meu filho soprou e o papel voou.,filho meo soprar papel voar.
minha irmã quer se vestir de soror.,meo irmo querer vestir soror.
uma criança sempre sorri bonito!,criança sempre sorrir bonito!
meu amigo teve sorte ao ganhar o carro no sorteio.,amigo meo sorte ganhar carro sorteio.
ontem eu ganhei um relógio no sorteio.,ontem lá sorteio eu ganhar relógio.
meu amigo sortudo ganhou o carro no sorteio.,amigo meo sortudo ganhar carro sorteio.
eu gosto de sorvete de chocolate.,sorvete chocolate eu gostar.
"ele é sovina, não quer dividir o dinheiro para comprar um bolo.",elo sovina querernão dividir comprar bolo.
"estou preocupada, meu filho vai viajar sozinho.",eu preocupado filho meo viajar sozinho.
ele sempre sua quando fica nervoso.,elo nervoso sempre suar.
minha mãe gosta de perfume suave.,mãe gostar perfume suave.
o elevador está quebrado e estou com preguiça de subir a escada.,elevador quebrar eu subirescada preguiça.
eu não soube que subiu o preço dos remédios.,eu sabernão ontem remédio valor subir.
"o chefe está aqui, parece que vai subir para a reunião.",chefe estar aqui parecer subir reunião.
ele sublinhou as palavras difíceis.,palavra difícil você sublinhar.
um grupo de pessoa submergiu para procurar ostras.,grupo pessoa submergir procurar ostra.
"a submissão, sempre, não é boa.",submissão sempre boo não.
o homem subornou o polícia.,polícia homem subornar.
o pai ajudar o filho no suborno para conseguir a carteira de habilitação.,pai ajudar filho suborno carteira habilitação conseguir.
vou viajar amanhã e ele vai me substituir na minha função de instrutor.,amanhã eu viajar elo substituir instrutoro .
"em matemática a subtração é difícil, a adição é fácil.",matemática subtração difícil adição fácil.
você calculou errado a subtração; olhe de novo.,voce subtrair calcular errado olhar denovo.
"você viu, aquele cantor já é sucesso.",você ver aquelo cantoro já sucesso.
o suco de abacaxi que bebi não estava gostoso.,eu beber abacaxi suco gostoso não.
na suécia a maioria das pessoas são louras.,suécia pessoa maioria cabelo louro.
minha prima morreu sufocada.,primo meo morrer sufocado.
"é perigoso a criança brincar com cordão, pode colocá-lo na cabeça e sufocar.",perigoso criança brincar linha grosso colocarpescoço sufocar.
a suíça tem muitos queijos diferentes.,suíça lá queijo diferentemuito.
ela se suicidou por causa do fim do namoro.,ontem elo suicidar porcausa namoraracabar.
"ao brincar, a criança sempre suja a roupa.",criança sempre brincar roupa sujar.
"ele está imundo, precisa tomar banho.",elo sujomuito precisar banho.
no sul do brasil é muito frio.,sul^baixo sempre friomuito.
o professor falou para os alunos lerem o livro e depois sumariá-lo.,professoro falar aluno livro ler depois sumariar.
"meu amigo sumiu, eu não o vejo há cinco anos.",amigo meo sumir 1sversem2s 5 ano.
ele comprou uma sunga grande horrível.,elo comprar sunga grande horrível.
o casaco de lã é quente e provoca muito suor rapidamente.,casaco lã quente suormuito rápido.
no banco não tem um surdo superior a um ouvinte. parece preconceito com os surdos.,banco ternão surdo superior ouvinte. parecer preconceito surdo.
"vou fazer compras hoje à tarde, no supermercado.",hoje tarde eu ir supermercado comprar.
"o supervisor faltou hoje, está doente.",homem supervisoro faltar hoje doente.
no rio de janeiro tem supletivo de 2º grau para surdos.,rio aqui ter surdo estudar supletivo.
ele está pesquisando sobre surdez.,elo pesquisar sobre surdez.
minha família é surda.,família meo surdo.
o rapaz ouvia música alto e o pai o chamou de surdo!,rapaz ouvir música alto pai 2schamar3s elo surdo.
ele gosta de ler revistas de surfe.,revista surfe elo gostar ler.
ele surgiu de repente e eu levei um susto.,elo surgir eu susto.
eu me surpreendi com o presente que ele me deu.,elo 3sdar1s presente eu surpreender.
amanhã vou preparar uma festa surpresa. meu marido não sabe.,amanhã eu preparar festa surpresa esposo meo sabernão.
o pai deu um carro para o filho e ele ficou surpreso.,pai carro filho 2sdar3s eu surpreso.
"o homem roubou a bolsa da mulher, o povo ficou com raiva e o surrou.",mulher bolsa homem roubar povo raiva 3psurrar3s.
ele suspeita que aquele funcionário tenha roubado dinheiro da minha bolsa.,elo suspeitar aquelo funcionário roubar dinheiro bolsa meo.
o curso foi suspenso e adiado para o próximo mês.,curso lá suspender adiar mês próximo.
o jogador brigou e o juiz o suspendeu.,jogadoro brigar juiz suspender fora.
o pai suspendeu a filha e a colocou sobre a cama.,pai filho cama suspendercolocar.
ela sussurrava fofoca para a colega. que feio.,elo sempre sussurar colega fofoca feio.
"eu tenho um tio bom que me sustentou como um filho, quando eu era pequeno.",tio boo eu pequeno sustentar parecer filho.
"ele gritou atrás de mim, levei um susto e não gostei.",elo gritar atrás eu susto gostarnão.
"eu comprei um sutiã novo diferente, amarelo.",eu comprar novo sutiã cor amarelo diferente.
seu nome começa com t ou com d?,nome seo começar t ou d?
você tem a tabela de preços de carros novos?,carro novo você ter preço tabela?
"a tabela de basquete da escola quebrou, precisa ser trocada por uma nova.",escola basquete tabela quebrar precisar trocar novo.
preciso ir ao tabelião para legalizar meus documentos da casa.,eu precisar ir tabelião casa documento legalizar.
"por favor, pegue a tábua, preciso cortar a carne do churrasco.",porfavor pegar tábua eu precisar cortarcomfaca carne churrasco.
o professor quer todos os alunos com a tabuada decorada.,professoro querer todo aluno decorar tabuada.
"na festa de 15 anos, o garçom, por acidente, quebrou sete taças.",festa 15 idade garçom acidente taça 7 quebrar.
"o brasil foi tetracampeão no ano passado e ganhou uma taça linda, pequena e pesada.",anopassado brasil tetracampeão taça lindo pequeno pesado.
"no aniversário do meu filho, ele quer ganhar de presente um taco, bola e boné.",aniversário filho querer presente taco bola boné.
chocolate é gostoso. quer um taco?,chocolate gostoso querer taco?
"ontem, na reunião, você ficou tagarelando. que coisa feia, precisa parar com isso!",ontem reunião você tagarelarcontinuativo feio precisar parar!
"por favor, vá ao supermercado comprar um talco.",favor você ir supermercado comprar talco.
"o surdo com talento para o teatro pode, no futuro, ser profissional.",teatro surdo talento futuro poder profissional.
"a talha está velha, precisa ser trocada, a água está com gosto diferente.",águaobjetoarredondado velho gosto diferente precisar trocar.
talvez eu vá à sua casa amanhã.,talvez amanhã casa seo eu ir.
amanhã vou comprar um tamanco.,tamanco amanhã eu ir comprar.
o tamanduá adora comer formiga.,tamanduá adorar formiga comer.
ele também adora futebol.,elo também adorar futebol.
"quando eu era pequeno, gostava de tocar tambor e violão.",eu antes pequeno eu gostar tambor violão.
"cadê a tampa da panela? por favor, procure, preciso dela.",panela tampa cadê? porfavor procurar eu precisar.
"é engraçado meu filho com um tampão no olho, pensando ser um pirata.",engraçado meo filho tampãonoolho pensar pirata.
você já tampou o lixo fora da casa?,casa fora lixo você já tampar?
as mulheres gostam da tanga estampada de flores.,mulher gostar tanga flor estampado.
tangerina é uma fruta que eu detesto.,fruta eu detestar tangerina.
você é tonto de convidar tanta gente para a festa?,você tonto festa convidar tanto pessoa?
"para mim, tanto faz comprar um sorvete de chocolate ou de abacaxi.",comprar sorvete chocolate abacaxi eu tantofaz.
"na sexta-feira passada, vi sua prima brigar e dar um tapa no rosto do namorado.",sextafeira passado eu ver seo primo brigar taparrosto namorado.
"não gosto que você fale palavrão, vou dar um tapa na sua boca.",eu gostarnão você falar palavrão eu tapaboca você.
o barulho do avião foi muito alto e tapei os ouvidos.,avião barulhomuito alto eu taparouvido.
minha tia comprou um tapete lindo para a sala.,tio meo comprar tapete sala lindo.
"tive medo do cachorro bravo e corri, cheguei em casa com taquicardia.",cachorro bravo eu medo pessoacorrer casa chegar taquicardia.
cuidado! o homem tarado fica na rua à noite.,cuidado! homem tarado rua noite.
hoje à tarde eu vou ao cinema.,hoje tarde eu ir cinema.
"hoje, na praia, eu vi uma tartaruga.",hoje praia ver tartaruga.
"eu já comi tatu, é gostoso.",eu comer tatu já gostoso.
"qual é o desenho que você acha mais bonito para a tatuagem, cobra ou beija-flor?",você achar tatuagem desenho bonito mais qual? cobra beijaflor?
hoje eu vou para casa de táxi.,hoje eu ir casa táxi.
"aqui no rio, um motorista de táxi tem salário baixo.",aqui rio homem táxi salário pouco.
tchau! amanhã nos encontramos no cinema.,tchau! amanhã encontrar cinema.
"eu gosto do tdd, mas prefiro o telefone celular.",eu gostar tddteclar mas prefirir celular.
"qual é o valor da entrada do teatro no ines, sábado?",sábado teatro ines entrada valor?
o teclado do meu computador está com problema.,computador meo teclado problema.
você já teclou a carta para mandar ao presidente?,você teclar já carta mandar presidente?
o técnico do vasco brigou com o juiz.,técnico vasco brigar juiz.
"eu estou admirado com a tecnologia do japão, a melhor do mundo.",tecnologia eu admirado japão melhor mundo.
"não gosto de morar na fazenda, é muito tédio. prefiro morar na praia.",fazenda morar eu gostarnão tédio preferir morar praia.
"não gosto de morar em fazenda, sinto tédio, prefiro morar na praia.",fazenda morar eu gostarnão tédio preferir morar praia.
a casa tem muita teia de aranha; precisa limpar.,casa aranha teia muito precisar limpar.
"meu filho é teimoso, não pode beber água gelada que fica gripado, mas bebe escondido.",elo teimoso podernão água gelado beber elo gripado mas berber escondido.
"ele é teimoso, não quer desligar o computador.",elo teimoso querernão desligar computador.
"ele é teimoso, não aceita a opinião de outra pessoa.",elo teimoso opinião outro aceitar não.
estou com vontade de ir a nova friburgo para conhecer o teleférico.,eu vontade novafriburgo visitar teleférico.
minha cunhada trabalha como telefonista.,meo cunhado trabalhar telefonista.
favor telegrafar avisando que a reunião de amanhã foi cancelada.,favor telegrafar avisar amanhã reunião cancelado.
"ontem recebi um telegrama, mas ainda não li.",telegrama ontem eu receber eu ler aindanão.
ganhei um telescópio no sorteio.,sorteio eu ganhar telescópio.
"eu assisti, na televisão, a um bom filme de guerra.",eu televisão ver filme boo guerra.
"hoje vou comprar telha, porque amanhã haverá uma obra em minha casa.",hoje eu comprar telha amanhã obra casa meo.
eu vi que o telhado está quebrado e precisa consertar .,eu ver telhado quebrar precisar consertar.
nós precisamos criar um tema novo para o teatro.,teatro novo nós precisar criar tema.
"a sopa está ruim, falta tempero.",sopa ruim têmpero faltar.
"hoje vai haver tempestade, é melhor ficar em casa.","hoje vai tempestade, melhor casa ficar."
"a construção dos templos antigos é mais bonita, a dos templos atuais é razoável.",construção templo antigo mais bonito atual construção templo razoável.
você precisa pegar o táxi pois não dá tempo para chegar ao trabalho de ônibus.,trabalho você precisar táxi ônibus darnão tempo.
preciso de um tempo pois eu trabalhei muito hoje.,hoje eu trabalhar muito eu precisar tempo.
hoje o tempo está ruim.,hoje tempo ruim chuvamuito.
minhas têmporas estão doendo muito e preciso ir ao médico.,eu precisar ir médico têmpora doermuito.
já viajei para marrocos e vi uma linda tenda.,marrocos eu viajar ver tenda lindo.
"eu desejo jogar tênis, pois o salário é alto.",eu desejo tênis salário alto.
"eu comprei um tênis bonito, preto e azul.",eu comprar tênis preto azul bonito.
tenho tentação pelas nádegas grandes da mulher.,mulher nádegasgrande eu tentação.
você quer fazer faculdade? já tentou fazer o vestibular?,você querer faculdade? já tentar vestibular?
gostei da palestra e a teoria dele foi interessante.,palestra eu gostar teoria delo interessante.
seu carro tem ar-condicionado?,carro seo ter ar^frio?
ano que vem vou fazer o terceiro grau.,anoquevem eu estudar terceirograu.
a loja não aceita cheques de terceiros.,loja cheque terceiros aceitar não.
o filme terminou à uma da madrugada.,filme terminar hora 1 madrugada.
"meu filho está com febre. por favor, pegue o termômetro .",filho febre favor pegar termômetro.
fui de terno ao casamento de meu irmão.,casamento meo irmo eu ir terno.
"você acha que a terra, no futuro, irá se acabar?",você achar aqui terra futuro acabar?
"eu viajei de carro em uma estrada de terra horrível, cheia de buracos.",eu viajar carro estrada horrível terra buraco muito.
no japão sempre há terremotos.,japão lá sempre terremoto.
"estou guardando o dinheiro para, no futuro, comprar terrenos.",eu dinheiro guardar futuro comprar terreno.
o governo quer tirar os índios de seu território.,governo querer tirar índio território delo.
ele adora filmes de terror.,elo adorar filme terror.
"hoje eu estou com tesão, com muita vontade de fazer amor.",hoje eu tesão vontademuito fazeramor.
eu preciso comprar uma tesoura para amanhã cortar os meus cabelos.,eu precisar comprar tesoura amanhã cabelo cortarcomtesoura.
"eu preciso comprar uma tesoura de grama, pois tem muito capim na minha casa.",meo casa muito capim eu precisar comprar tesouradegrama.
o tesoureiro descobriu muitos erros no balancete e o presidente ficou furioso.,tesoureiro balancete descobrir erromuito presidente furioso.
eu quero que você me beije a testa.,eu querer você testa beijartesta.
preciso do seu teste audiométrico para provar se você é surdo.,eu precisar ver ouvido^audiométria provar você surdo.
já testei e gostei do meu carro novo zero quilômetros.,carro novo zeroquilometro eu já teste eu gostar.
"tive nota ruim no teste de geografia, preciso estudar mais.",teste geografia eu nota ruim eu precisar estudarmuito.
"a minha família é testemunha de jeová, mas eu não sou.",meo família testemunhadejeová eu não.
o juiz quer uma pessoa para testemunhar.,juiz querer pessoa testemunhar.
"o teto de minha casa está com problema, pingando água.",casa meo problema teto água pingar.
"o brasil é tetracampeão, tem o melhor vôlei do mundo.",brasil vôlei melhor mundo brasil tetracampeão.
"o texto da prova de português estava difícil, eu não sabia.",português prova texto difícil sabernada.
meu namorado me presenteou com uma bonita tiara rosa.,meo namorado 3spresentear1s tiara rosa bonito.
"eu tenho furadeira, não tenho tico-tico.",furadeira eu ter ticotico ternão.
"por favor, pegue a tigela em cima da mesa da cozinha.",favor pegar tigela mesa cozinha lá.
tenho medo dos dentes grandes do tigre.,tigre dente grande eu medo.
"minha casa está em obras, preciso comprar tijolos.",eu casa obra precisar comprar tijolo.
você esqueceu de colocar o til no final da palavra maçã.,palavra maçã você esquecer final colocar til.
"o trabalho não aceita um papel qualquer, o papel timbrado é obrigatório.",trabalho aceitar não papel liso obrigatório papel timbrado.
minha sala tem um aluno tímido.,meo sala ter 1 aluno tímido.
"eu comprei tinta, pois preciso pintar a casa.",eu comprar tinta casa eu precisar pintar.
"você conhece o vatapá, comida típica da bahia?",comida típico bahia vatapá você conhecer?
ela é bonita mas não é do meu tipo.,elo bonito mas eu tipo elo não.
"no meu trabalho, eu recebo tíquete para o restaurante.",meo trabalho eu receber restaurante tíquete.
"amanhã a festa será simples, só terá tira-gosto e bebidas.",festa amanhã simples só tiragosto bebida.
"eu estou com o nome sujo no spc, vou lutar para tirar.",s.p.c eu ir lutar eu nome sujo tirar.
um amigo meu ouviu um tiro de revólver na madrugada de ontem.,amigo meo ouvir tiro ontem madrugada.
"o jornal divulgou que ontem, na favela, durante o tiroteio entre a polícia e o ladrão, mataram, por acidente, uma criança.",jornal divulgar ontem favela polícia ladrão tiroteio acidente matar criança.
ela é tesoureira titular ou suplente?,elo tesoureiro titular ou suplente?
"já inventei a história para o livro, mas faltou o título.",eu já inventar história livro mas faltar título.
"a toalete do restaurante está fedorenta, precisa de limpeza.",restaurante toalete fedorento precisar limpeza.
"eu vou tomar banho, por favor, me ajude e pegue a toalha.",eu tomarbanho favor 2sajudar1s pegar toalha.
estou suado; por favor me ajude e pegue a toalha de rosto.,eu suado favor 2sajudar1s pegar toalhaderosto.
meu filho adora piscina com tobogã.,meo filho adorar piscina tobogã.
no sítio do meu tio há muitas tocas de coelho.,tio meo sítio ter muito coelho toca.
"nunca fui a tocantins, mas desejo conhecer.",tocantins eu nunca ir eu desejar conhecer.
"não pode tocar no bolo, pois está quente.",bolo quente podernão tocar.
"antigamente os castelos não tinham luz, usavam tochas.",antigamente castelo luz ternão só tocha.
meu filho toma vitamina de banana todo dia.,filho tododia vitamina banana tomar.
"faço ginástica todas as tardes; gosto de fazer pela manhã mas não posso, por causa da faculdade.",eu ginástica todo tarde eu gostar manhã mas podernão porcausa faculdade.
eu vendi todas as roupas.,eu vender todo roupa.
é melhor todos conversarem com os diretores sobre o problema na escola.,escola problema melhor todo junto conversar diretoro.
"eu não tolero mais, ele se atrasa todos os dias.",eu tolerar não elo atrasar tododia.
cuidado para não paletrar as tolices.,cuidado você podernão palestrar tolice.
"ele é tolo, porque aceitou trocar seu carro, que é novo, por uma velha moto.",elo tolo aceitar carro delo novo trocar moto velho.
onde está a tomada? preciso ligar o computador.,onde tomada? precisar computador ligar.
você já tomou banho hoje de manhã?,hoje manhã você tomarbanho já?
preciso procurar uma pessoa para tomar conta do meu filho.,eu precisar procurar pessoa filho tomarconta.
"o calor de hoje está horrível, tomara que chova muito.",hoje calor horrível tomara chovermuito.
"meu namorado é muito bom, presenteou-me com um bonito tomara-que-caia.",namorado boomuito 3spresentear1s tomaraquecaia bonito.
eu gosto somente de salada de tomate e alface.,eu gostar salada tomate alface só.
"ontem eu estava andando, escorreguei no chão e tombei.",ontem eu pessoaandar chão escorregar pessoaescorregar pessoatombar.
eu gargalhei muito pelo seu tombo de ontem.,você ontem tombo eu gargalharmuito.
"eu vi uma moto enorme, devia ter mais ou menos uma tonelada.",eu ver moto enorme peso maisoumenos 1000^quilo.
eu andei de helicóptero e fiquei tonto.,eu passear helicóptero eu tonto quase vomitar.
"seu avô é tonto, querendo namorar com uma menina de 16 anos.",seo vovô tonto querer namorar menino 16 idade.
vocês todos topam viajar para a arábia nas férias?,férias vocêstodo topar viajar arábia?
topei com seu primo no cinema.,cinema eu seo primo surpresa topar.
na praia de ipanema eu vi uma mulher bonita fazendo topless.,praia ipanema eu ver mulher topless seio bonito.
"se eu dormir, toque-me de leve que eu logo me desperto.",eu dormir si leve toque eu despertar rápido.
você já viu o torá dos judeus?,você já ver judeu tora?
meu irmão estava dirigindo e sofreu um acidente. quebrou o tórax e ficou internado na uti.,ontem irmo bêbado dirigircarro árvore colidir tórax quebrar uti internado.
eu estava correndo na praia e torci o pé.,anteontem eu praia correr pé torcer doermuito
"se o vasco perder, eu vou torcer para o fluminense.",si vasco perder eliminado eu torcer fluminense.
"a camisa está molhada, você precisa torcê-la para secar.",camisa molhado você precisar torcer secar.
"estou com torcicolo no pescoço e dói muito, preciso ir ao médico.",torcicolo doermuito. eu precisar médico ir.
"o vasco perdeu e foi eliminado; a torcida, furiosa, queria brigar.",vasco perder eliminado torcida furioso querer brigar.
"nos estados unidos, um tornado derrubou as casas e muitas pessoas morreram.",e.u.a. lá tornado casaderrubar pessoa muito morrer.
o torneio de futebol de são paulo tem melhor organização do que o do rio.,sãopaulo futebol torneio organização melhor doque rio.
a torneira de minha casa quebrou e eu chamei um amigo para me ajudar a consertar.,meo casa torneira ruim defeito eu chamar amigo 3sajudar1s consertar.
os hospitais no interior não têm torniquetes; o governo ignora e não ajuda.,hospital interior ternão torniquete governo ignorar ajudar não.
pedi a meu pai para comprar uma tornozeleira de marca boa.,eu pedir pai comprar tornozeleira marca boo.
"eu caí da moto, torci o tornozelo e doeu muito.",eu moto veículocair tornozelo torcer dormuito.
"aqui no paraná, em julho, sempre há toró. prefiro viajar para fortaleza, onde sempre há sol.",paraná julho sempre toró eu preferir viajar fortaleza lá sempre sol.
o presidente do brasil proibiu à marinha a compra de torpedos.,presidente brasil proibir marinha comprar torpedo.
minha filha todo dia sempre come as torradas.,meo filho tododia comer sempre torrada.
não quero comprar uma casa que fica perto da torre elétrica.,eu querernão comprar casa perto torre elétrico.
sou louca por uma torta de banana.,eu adorar torta banana.
"a obra da casa foi mal e a janela ficou torta, fiquei irritado.",casa obra mal janela torto eu irritado.
"o cachorro está muito feio por causa de muitos pêlos, e precisa da tosa.",cachorro feio pêlomuito precisar tosa.
"a escola tem cinco turmas de primeira série; no total, são 60 alunos.",casa^estudo primeirasérie ter 5 turma total maisoumenos 60 alun0.
meu primo me presenteou com o totó e fiquei contente.,totó primo 3spresentear1s eu contente.
"a minha touca está ruim e furada, preciso comprar uma nova.",touca meo ruim furado comprar novo.
minha mãe é uma pessoa trabalhadora.,mãe meo pessoa trabalhar.
"amanhã não terei folga, vou trabalhar.",amanhã eu trabalhar não eu folga.
é muita trabalheira fazer faxina em uma casa de quatro quartos.,faxina casa grande quarto 4 trabalheira.
estou nervoso. meus livros têm muita traça e vou jogá-los fora.,eu nervoso livro meo muito traça eu jogarfora.
"a família tem a tradição de comer sempre junto, na hora certa.",família tradição comer sempre junto hora certo.
"às cinco horas o tráfego fica horrível, prefiro sair mais cedo, mais ou menos às quatro horas.",hora 5 tráfego horrível preferir sair antes maisoumenos hora 4.
"na favela, a polícia conseguiu prender quatro traficantes e encontrou muitos revólveres e maconha.",favela polícia conseguir prender 4 traficante encontrar muito revólver maconha.
as favelas aumentaram o tráfico de drogas em 2002.,2002 favela aumentar tráfico drogas.
precisamos acabar com o tráfico de drogas no brasil.,precisar acabar tráfico drogas aqui brasil.
você precisa tragar uma cachaça que é melhor para esquecer todos os problemas.,você problema confusão melhor cachaça coisaredondapequenatragar esquecer.
vi um homem tragando um cigarro que me deu nojo.,eu ver homem cigarro tragar eu nojo.
"ele foi meu amigo e companheiro por muitos anos mas, agora, ele me traiu e nossa amizade acabou.",elo amigo companheiro muitoanos agora trair amizade acabar.
qual o traje que você usará na festa do ines?,festa ines você traje qual ?
"preciso tirar o trampolim da piscina de minha casa, pois é perigoso, as crianças podem bater a cabeça.",casa piscina trampolim precisar tirar perigoso criança batercabeça.
"minha sobrinha não quer a trança no cabelo, só quer o rabo de cavalo.",meo sobrinho querernão trança querer rasparcabelo careca.
"por favor, não esqueça de trancar a porta quando a aula acabar.",aula acabar porfavor esquecer não porta trancar.
eu preciso viajar para qualquer lugar tranqüilo e descansar.,eu precisar viajar lugar qualquer tranqüilo descansar.
eu preciso viajar para qualquer lugar tranqüilo e descansar.,eu precisar viajar lugar qualquer tranqüilo descansar.
"qual é a transa mais gostosa, na cachoeira ou no mar?",transa gostoso mais qual cachoeira ou mar?
"arranjei uma mulher bonita ontem no bar, transei e foi gostoso.",ontem bar eu conseguir arranjar mulher bonito transar.
quem transbordou o café e sujou a sala?,quem café transbordar sala sujar?
"você consegue transcrever? você me ensina, pois acho difícil.",você conseguir transcrever? eu conseguir não porfavor 2sensinar1s.
a professora explicou sobre transcrição e nada entendi.,professoro explicar transcrição eu entender nada.
enjoei de trabalhar anos no rio e agora vou pedir ao chefe uma transferência para outro lugar.,eu trabalhar rio anomuito enjoar agora eu pedir chefe transferência outro lugar.
"eu trabalhava na tijuca, agora fui transferido para o centro.",eu antes trabalhar tijuca agora transferir centro.
"meu amigo era ladrão perigoso, agora transformou-se em pastor da igreja batista.",amigo antes ladrão perigoso agora transformar pastor igreja batista.
não gosto da transfusão de sangue; me deixa nervoso.,eu gostarnão sangue transfusão eu nervoso.
a multa de transgressão no sinal vermelho é muito cara.,sinal vermelho transgressão multa caromuito.
"são paulo tem muito trânsito, às vezes chego atrasado ao trabalho.",sãopaulo muito trânsito trabalho eu àsvezes chegar atrasado.
esqueci a transparência e preciso voltar à casa para pegar.,esquecer transparência eu precisar casa voltar pegar.
